Country,date,daily_cases,cumulative_cases,latitude,longitude,Continents,SubRegion,deaths,cumulative_deaths
162,Andorra,2022-07-12,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
163,Andorra,2022-07-13,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
164,Andorra,2022-07-14,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
165,Andorra,2022-07-15,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
166,Andorra,2022-07-16,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
167,Andorra,2022-07-17,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
168,Andorra,2022-07-18,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
169,Andorra,2022-07-19,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
170,Andorra,2022-07-20,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
171,Andorra,2022-07-21,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
172,Andorra,2022-07-22,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
173,Andorra,2022-07-23,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
174,Andorra,2022-07-24,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
175,Andorra,2022-07-25,1,1,1.521801,42.506285,Europe,Southern Europe,0,0
176,Andorra,2022-07-26,2,3,1.521801,42.506285,Europe,Southern Europe,0,0
177,Andorra,2022-07-27,0,3,1.521801,42.506285,Europe,Southern Europe,0,0
178,Andorra,2022-07-28,0,3,1.521801,42.506285,Europe,Southern Europe,0,0
179,Andorra,2022-07-29,0,3,1.521801,42.506285,Europe,Southern Europe,0,0
180,Argentina,2022-01-31,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
181,Argentina,2022-02-01,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
182,Argentina,2022-02-02,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
183,Argentina,2022-02-03,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
184,Argentina,2022-02-04,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
185,Argentina,2022-02-05,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
186,Argentina,2022-02-06,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
187,Argentina,2022-02-07,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
188,Argentina,2022-02-08,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
189,Argentina,2022-02-09,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
190,Argentina,2022-02-10,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
191,Argentina,2022-02-11,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
192,Argentina,2022-02-12,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
193,Argentina,2022-02-13,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
194,Argentina,2022-02-14,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
