DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-14,Latvia,LV,TESSy,0
2022-05-14,Luxembourg,LU,EI,0
2022-05-14,Malta,MT,TESSy,0
2022-05-14,Netherlands,NL,EI,0
2022-05-14,Norway,NO,TESSy,0
2022-05-14,Poland,PL,TESSy,0
2022-05-14,Portugal,PT,EI,0
2022-05-14,Romania,RO,TESSy,0
2022-05-14,Slovenia,SI,TESSy,0
2022-05-14,Spain,ES,TESSy,2
2022-05-14,Sweden,SE,TESSy,0
2022-05-15,Austria,AT,EI,0
2022-05-15,Belgium,BE,TESSy,0
2022-05-15,Czechia,CZ,TESSy,0
2022-05-15,Denmark,DK,EI,0
2022-05-15,Finland,FI,EI,0
2022-05-15,France,FR,EI,0
2022-05-15,Germany,DE,EI,0
2022-05-15,Greece,EL,TESSy,0
2022-05-15,Hungary,HU,TESSy,0
2022-05-15,Iceland,IS,EI,0
2022-05-15,Ireland,IE,TESSy,0
2022-05-15,Italy,IT,TESSy,4
2022-05-15,Latvia,LV,TESSy,0
2022-05-15,Luxembourg,LU,EI,0
2022-05-15,Malta,MT,TESSy,0
2022-05-15,Netherlands,NL,EI,0
2022-05-15,Norway,NO,TESSy,0
2022-05-15,Poland,PL,TESSy,0
2022-05-15,Portugal,PT,EI,0
2022-05-15,Romania,RO,TESSy,0
2022-05-15,Slovenia,SI,TESSy,0
2022-05-15,Spain,ES,TESSy,10
2022-05-15,Sweden,SE,TESSy,0
2022-05-16,Austria,AT,EI,0
2022-05-16,Belgium,BE,TESSy,0
2022-05-16,Czechia,CZ,TESSy,0
2022-05-16,Denmark,DK,EI,0
2022-05-16,Finland,FI,EI,0
2022-05-16,France,FR,EI,0
2022-05-16,Germany,DE,EI,0
2022-05-16,Greece,EL,TESSy,0
2022-05-16,Hungary,HU,TESSy,0
2022-05-16,Iceland,IS,EI,0
2022-05-16,Ireland,IE,TESSy,0
2022-05-16,Italy,IT,TESSy,2
2022-05-16,Latvia,LV,TESSy,0
2022-05-16,Luxembourg,LU,EI,0
2022-05-16,Malta,MT,TESSy,0
2022-05-16,Netherlands,NL,EI,0
2022-05-16,Norway,NO,TESSy,0
2022-05-16,Poland,PL,TESSy,0
2022-05-16,Portugal,PT,EI,0
2022-05-16,Romania,RO,TESSy,0
2022-05-16,Slovenia,SI,TESSy,0
2022-05-16,Spain,ES,TESSy,12
2022-05-16,Sweden,SE,TESSy,0
2022-05-17,Austria,AT,EI,0
2022-05-17,Belgium,BE,TESSy,0
2022-05-17,Czechia,CZ,TESSy,0
2022-05-17,Denmark,DK,EI,0
2022-05-17,Finland,FI,EI,0
2022-05-17,France,FR,EI,0
2022-05-17,Germany,DE,EI,0
2022-05-17,Greece,EL,TESSy,0
2022-05-17,Hungary,HU,TESSy,0
2022-05-17,Iceland,IS,EI,0
2022-05-17,Ireland,IE,TESSy,0
2022-05-17,Italy,IT,TESSy,0
2022-05-17,Latvia,LV,TESSy,0
2022-05-17,Luxembourg,LU,EI,0
2022-05-17,Malta,MT,TESSy,0
2022-05-17,Netherlands,NL,EI,0
2022-05-17,Norway,NO,TESSy,0
2022-05-17,Poland,PL,TESSy,0
2022-05-17,Portugal,PT,EI,0
2022-05-17,Romania,RO,TESSy,0
2022-05-17,Slovenia,SI,TESSy,0
2022-05-17,Spain,ES,TESSy,9
2022-05-17,Sweden,SE,TESSy,0
2022-05-18,Austria,AT,EI,0
2022-05-18,Belgium,BE,TESSy,0
2022-05-18,Czechia,CZ,TESSy,0
2022-05-18,Denmark,DK,EI,0
2022-05-18,Finland,FI,EI,0
2022-05-18,France,FR,EI,0
